Brand,Revenue,Quantity,Transactions,Revenue %,Cumulative %,Category
2722,4771.83,217,185,0.014399275659972769,80.96983321256828,B
12747,4771.0,780,352,0.014396771086507708,80.98422998365479,B
3731,4767.349999999999,265,220,0.014385756998378227,80.99861574065316,B
6429,4758.78,522,290,0.014359896522961884,81.01297563717613,B
8500,4753.86,534,319,0.014345050135675021,81.0273206873118,B
3367,4753.64,436,321,0.014344386272828864,81.04166507358462,B
2787,4750.92,108,91,0.014336178514003607,81.05600125209862,B
37607,4747.63,337,243,0.014326250746895116,81.07032750284552,B
25036,4739.74,426,239,0.014302442211185085,81.0846299450567,B
42413,4736.3,370,246,0.01429206181031785,81.09892200686703,B
43245,4735.26,474,269,0.014288923549590545,81.11321093041661,B
942,4733.2699999999995,73,40,0.014282918608391183,81.127493849025,B
10895,4727.65,235,123,0.014265959930230174,81.14175980895523,B
15922,4723.8,420,226,0.014254342330422366,81.15601415128565,B
16814,4718.07,393,157,0.014237051720838277,81.17025120300649,B
4345,4717.639999999999,236,172,0.014235754170729873,81.18448695717721,B
19545,4706.11,589,287,0.01420096172247428,81.1986879188997,B
8379,4700.08,392,341,0.0141827658453727,81.21287068474507,B
4303,4696.18,582,466,0.014170997367645311,81.22704168211271,B
6126,4686.41,159,115,0.014141515822159001,81.24118319793487,B
44234,4677.89,311,158,0.014115806224662242,81.25529900415954,B
8057,4673.13,187,130,0.01410144264671804,81.26940044680626,B
39411,4665.33,467,200,0.01407790569126326,81.28347835249753,B
2161,4663.78,222,176,0.01407322847575622,81.29755158097328,B
8671,4659.679999999999,232,177,0.0140608564863505,81.31161243745963,B
4522,4658.83,317,248,0.014058291561717609,81.32567072902135,B
26817,4657.93,547,238,0.014055575759165133,81.33972630478051,B
5767,4656.7,330,276,0.014051864162343417,81.35377816894285,B
4938,4650.83,517,409,0.0140341510945845,81.36781232003743,B
2602,4646.22,78,67,0.014020240150399045,81.38183256018783,B
47014,4644.68,332,163,0.014015593110475923,81.3958481532983,B
4283,4642.65,235,189,0.014009467466940893,81.40985762076524,B
802,4642.53,347,265,0.014009105359933898,81.42386672612517,B
3012,4638.15,4685,970,0.01399588845417852,81.43786261457934,B
3592,4635.36,464,326,0.01398746946626585,81.45185008404562,B
3039,4630.429999999999,257,190,0.01397259290339507,81.46582267694902,B
2082,4629.54,46,37,0.013969907276426514,81.47979258422545,B
22275,4620.99,201,98,0.013944107152178004,81.49373669137763,B
12479,4619.69,331,136,0.013940184326268873,81.50767687570391,B
4363,4618.6,140,124,0.013936895187621989,81.52161377089153,B
25046,4616.92,508,275,0.013931825689524037,81.53554559658106,B
3237,4616.219999999999,178,130,0.013929713398649885,81.54947530997971,B
37786,4615.7,430,234,0.013928144268286233,81.563403454248,B
2899,4609.16,84,69,0.01390840943640492,81.57731186368441,B
2906,4599.54,46,33,0.013879380524677357,81.59119124420909,B
2604,4599.54,46,40,0.013879380524677357,81.60507062473376,B
42420,4595.4800000000005,652,331,0.013867129237607304,81.61893775397137,B
3738,4592.17,383,187,0.01385714111933098,81.6327948950907,B
4412,4587.45,255,210,0.013842898243722444,81.64663779333442,B
37984,4585.84,416,213,0.013838039974711907,81.66047583330914,B
14004,4585.47,353,195,0.013836923478107003,81.67431275678724,B
8101,4573.0199999999995,2298,752,0.013799354876131098,81.68811211166337,B
14008,4562.62,338,178,0.013767972268858059,81.70188008393222,B
8922,4562.29,571,359,0.013766976474588818,81.71564706040681,B
3388,4562.27,473,288,0.013766916123420986,81.72941397653022,B
8135,4560.85,415,321,0.01376263119050486,81.74317660772073,B
3376,4558.860000000001,114,104,0.0137566262493055,81.75693323397003,B
5027,4547.04,296,245,0.013720958709116328,81.77065419267915,B
27145,4542.67,433,259,0.01370777197894487,81.78436196465809,B
5826,4540.34,466,343,0.01370074106789235,81.79806270572598,B
3409,4539.08,92,82,0.013696938944318887,81.8117596446703,B
2590,4531.0,100,91,0.013672557072514448,81.82543220174281,B
3532,4526.469999999999,153,137,0.013658887533000324,81.83909108927581,B
4736,4523.87,1513,553,0.013651041881182062,81.85274213115699,B
2795,4522.219999999999,178,148,0.013646062909835858,81.86638819406683,B
5149,4517.63,137,105,0.01363221231681824,81.88002040638365,B
6312,4515.4800000000005,452,250,0.013625724566276217,81.89364613094993,B
3020,4505.35,365,270,0.013595156699768919,81.9072412876497,B
10051,4499.25,75,37,0.013576749593579922,81.92081803724328,B
90011,4494.6900000000005,31,6,0.013562989527314051,81.9343810267706,B
4404,4494.64,586,455,0.01356283864939447,81.94794386541999,B
376,4493.45,155,135,0.013559247754908417,81.9615031131749,B
2672,4488.4,1960,634,0.013544009085030643,81.97504712225992,B
7969,4483.01,299,245,0.013527744445299712,81.98857486670522,B
12123,4482.75,735,374,0.013526959880117885,82.00210182658535,B
1880,4480.38,62,50,0.013519808266729702,82.01562163485208,B
38635,4473.37,263,74,0.013498655182404316,82.02912029003448,B
5457,4471.53,2247,754,0.0134931028749637,82.04261339290944,B
22903,4464.46,554,184,0.013471768737134815,82.05608516164658,B
37071,4457.7699999999995,223,138,0.013451581271494751,82.06953674291807,B
8701,4455.54,446,310,0.013444852116281398,82.08298159503435,B
37421,4454.7300000000005,27,8,0.013442407893984173,82.09642400292834,B
4282,4450.9400000000005,306,237,0.013430971347679862,82.10985497427602,B
